priority,kind,page,line,target,alt,nav_rank,status,reason,capture_instruction,lead_in_to_delete
P1,image,getting_started/discover_ui.md,51,img/side_menu.png,Main menu,3,removed,"Consolidation (paired with the retake of img/menu_adjust.png at L57): both images show the same expanded main menu, and the bullet list below already names the sections, so one framing that also shows the resize edge and the collapse button covers both spots.",,
P1,image,getting_started/discover_ui.md,57,img/menu_adjust.png,Main menu - adjust,3,done,"Passes and absorbs the L51 shot: ""click on the side edge of the panel"" and ""the button in the down right corner"" point at two unlabeled targets that only an image can locate. | RETAKE NOTE: Shot cropped to just below Customers so the un-rebranded ""Ibexa Engage"" menu entry stays out of frame; content tree collapsed to keep the ""Ibexa Platform"" folder out. Playwright cannot render the mouse cursor, so the resize cursor is represented by the highlight on the panel edge.","Log in, open Content in the main menu so the fly-out with Content structure / Media / Drafts / Forms / Calendar / Tags / Settings is expanded. Position the cursor on the right-hand edge of the panel so the horizontal resize cursor is showing. Crop to the main menu only: the icon rail plus the expanded fly-out, full height, including the collapse button in the bottom-right corner of the panel; exclude the content area to the right. Highlight both the panel edge under the resize cursor and the collapse button with 2px #FF4713 rectangles. This single image replaces both the former img/side_menu.png and img/menu_adjust.png.",
P1,image,getting_started/discover_ui.md,72,img/left_menu_tree.png,Content tree in the menu,3,removed,"Redundant duplicate: this is literally the same file as the lead image of the dedicated Content tree page (../img/left_menu_tree.png), and the section is a three-line summary ending in ""For more information, see Content tree"".",,
P1,image,getting_started/discover_ui.md,86,img/udw.png,Content Browser,3,done,"Passes: the prose describes the Content Browser in words but its three-column browse-plus-preview modal layout, and the Grid/Panels/Tree switch it mentions, are spatial facts that text cannot convey.","First create 3-4 nested dummy folders under Content structure so the browser columns are not empty (the repository holds only 5 content items). Then go to Content > Content structure, select a content item, click Move (or Copy) in the top-right corner to open the Select destination modal. Navigate one level deep so the first column, the second column and the right-hand preview pane all show content, and leave the View switch visible. Keep the parent Content structure screen dimmed behind the modal. Crop to the modal plus a thin margin of the parent screen; exclude browser chrome.",
P1,arcade,getting_started/discover_ui.md,106,2YM6EhsN5eeohdLzYBpi,Search and focus mode,3,removed,All 29 Arcade embeds are being removed; the surrounding sentences describe Focus mode itself rather than the video.,,"L104: KEEP - ""If you need access to certain settings or technical details, you can disable the focus mode at any time."" is a statement about the feature plus the link to the Disable Focus mode section, and it reads correctly with no video present."
P1,image,getting_started/discover_ui.md,111,img/FM_dark_content_tree.png,Dark theme for content tree,3,removed,"Fails the necessity test: the prose already says ""the tree is displayed on a dark background"", so this 573x184 sliver only illustrates the sentence verbatim.",,
P1,image,getting_started/discover_ui.md,117,img/FM_content_item_full_view.png,Content item in full view,3,done,Passes: full view is a distinct visual state - the rendered site page embedded in the back office with a reduced action bar - and the Exit full view button the prose tells you to click is only findable in the image.,"Log in with Focus mode on, select a specific SiteAccess (not All context) from the Site context drop-down, then in Content > Content structure select the landing page content item so it opens in full view. Crop to the content item header bar (item name, content type badge, Create content / Edit / Exit full view actions) plus the top third of the rendered page below it, so the reduced action set and the embedded preview are both visible; exclude the left menu and content tree. Highlight Exit full view with a 2px #FF4713 rectangle.",
P1,image,getting_started/discover_ui.md,127,img/FM_less_ci_tabs.png,Content item tabs in Focus mode,3,done,"Passes: the prose says the tabs ""are different"" and reordered but never names them, so the image is the only place the reader learns which tabs Focus mode exposes.","With Focus mode on, go to Content > Content structure and select any content item to open its details view. Crop to the tab strip only (Fields, Sub-items, Translations, URL, Relations, Authors) as a single narrow horizontal band, with the active tab visible; exclude the panel body below and the tree to the left.",
P1,image,getting_started/discover_ui.md,133,img/FM_subitems_column_list.png,Columns in Sub-items table,3,done,"Passes: the drop-down is the subject - the prose says the column list ""is limited in Focus mode"" without listing the columns, so all options must be shown.","With Focus mode on, open a folder that has sub-items (for example the Ibexa Platform folder, or create 2-3 dummy folders first so the table is not empty), go to its Sub-items tab and click Columns in the table toolbar so the full checkbox list is expanded. Crop to the Sub-items panel: tab strip, table toolbar, the open Columns drop-down with every option visible, and the two or three table rows behind it. Highlight the Columns button with a 2px #FF4713 rectangle.",
P1,image,getting_started/discover_ui.md,141,img/FM_user_settings.png,Focus mode user setting,3,done,"Passes: the bullet says only ""in user settings"" and gives no click path, so the image is what tells the reader the toggle sits in the Mode section of the Preferences tab.","Click the avatar icon > User settings > Preferences tab, then click Edit next to the Mode section. Crop to the Mode editing panel: the ""Editing mode"" label, the Mode heading, the Save and close / Discard buttons and the Enable focus mode toggle with its explanatory note; exclude the left menu and the other preference sections.",
P1,image,getting_started/discover_ui.md,145,img/FM_switch.png,Focus mode switch,3,done,"Passes: ""in the drop-down menu on the right side of the top bar"" points at an unlabeled avatar icon, and the toggle's position at the top of that menu is a non-obvious location.","Click the avatar icon at the far right of the top bar and keep the drop-down open so the Logged as ... line, the Focus mode toggle, User settings and Logout are all visible, with the toggle in the On (green) state. Crop to the right end of the top bar plus the open drop-down; exclude the rest of the page. Highlight the Focus mode toggle row with a 2px #FF4713 rectangle.",
P1,image,getting_started/discover_ui.md,149,about-info.png,Help center,3,icon-exempt,"A 32x32 inline glyph rendered mid-sentence with {.inline-image} (the help question-mark icon), not a product screenshot, so the rebranding almost certainly did not change it.",,
P1,image,getting_started/discover_ui.md,152,img/help_center.png,Help center,3,removed,"Fails the necessity test: the sentence above already enumerates what the panel offers (""documentation, trainings, release notes, and product roadmap highlights""), so the shot is a decorative here-is-what-the-panel-looks-like image.",,
P1,image,getting_started/discover_ui.md,166,img/help_obstructs.png,Help obstructs UI,3,blocked,"Blocked on environment, confirmed on both instances: the Help center bubble does not render on staging or on the local non-SaaS 6.0 instance (localhost:8000) - there is no help element in the DOM and no help-center toggle under User settings > Browsing.","Open a screen whose list paginates so the help bubble overlaps the pager - Admin > Roles works, as 11 roles exceed the default 10 rows per page. Scroll to the bottom of the list, then hover the Help center bubble in the bottom-right corner so the small x appears on it. Crop to a narrow strip containing the pagination controls (arrow, page numbers 1-7, ellipsis) and the overlapping Help center bubble with its x; exclude everything above the pager.",
P1,arcade,getting_started/dashboard/dashboard.md,10,RowOtNIs36IO5DTmdbXP,Dashboard - How to navigate,4,removed,All 29 Arcade embeds are being removed; nothing on the page introduces this one - it sits directly under the two descriptive opening sentences.,,
P1,image,getting_started/dashboard/dashboard.md,21,dashboard.png,Dashboard,4,done,"Shipped with the un-rebranded Ibexa news block still in frame, on explicit instruction - the block cannot be removed on either instance and the shot is specified as the whole dashboard viewport. Shot on the local non-SaaS 6.0 instance (localhost:8000) at 1600x1000 with the left menu collapsed to the icon rail, matching the framing of the image it replaces and keeping the non-SaaS-only menu labels out of frame. Recent activity is populated by two users; Review queue, My content and Common content sit below the fold, as they did in the previous image. RETAKE NOTE: the news block is still labelled 'Ibexa news' and will need another pass once the rebrand lands.","Before shooting, populate the dashboard: edit two content items (so Recent activity and My content have entries) and send one item to the Quick Review workflow (so Review queue is not empty), since the environment has only 5 content items. Then log in and stay on the landing Dashboard screen. Crop to the whole dashboard viewport at 1600x1000: greeting header with the three-dots menu, and the Quick actions / Recent activity / news / Review queue / My content / Common content blocks in their zones; include the top bar and icon rail for context, exclude browser chrome. Note that the news block is still labelled ""Ibexa news"" in this build.",
P1,image,getting_started/dashboard/dashboard.md,25,dashboard_icon.png,Dashboard icon,4,done,"Passes: the prose says ""the home icon in the main menu"", but that icon is an unlabeled glyph at the top of the collapsed icon rail, so the image is what identifies it (and the logo route beside it).",Log in and open any screen other than the dashboard (for example Content > Content structure) so both routes are visible. Hover the top-most icon in the left icon rail so its Dashboard tooltip is displayed. Crop tightly to the upper-left corner: the logo in the top bar plus the first two or three icons of the rail with the tooltip; exclude the rest of the page. Highlight the home icon with a 2px #FF4713 rectangle.,
P1,image,getting_started/dashboard/work_with_dashboard.md,21,customize_dashboard.png,Customize dashboard,5,removed,"Consolidation, paired with the retake of customize_dashboard_icon.png at L25: the prose says ""on the main page, click Customize dashboard"" and the button is plainly labelled inside a full-width promo banner, so the shot only illustrates the sentence while the L25 framing covers the same dashboard header.",,
P1,image,getting_started/dashboard/work_with_dashboard.md,25,customize_dashboard_icon.png,Customize dashboard - three dots icon,5,done,"Passes and absorbs the L21 shot: the fallback route after the banner is closed is a bare three-dots icon in the dashboard header, a non-obvious location whose menu contents cannot be described in one sentence.","Log in and stay on the Dashboard. If the ""Enhance your dashboard experience"" banner is visible, close it with its x, then click the three-dots icon at the right of the greeting header so the menu opens with Customize dashboard visible, and hover that entry. Crop from the top bar down through the Quick actions row so the header, the open menu and some dashboard content are all in frame. Highlight the three-dots icon and the open menu with 2px #FF4713 rectangles.",
P1,image,getting_started/dashboard/work_with_dashboard.md,29,dashboard_builder.png,Dashboard Builder,5,done,"Shipped with the un-rebranded Ibexa news block type still listed in the Dashboard blocks toolbox, on explicit instruction - the toolbox is what the shot is about, so the entry cannot be cropped out. Shot on the local non-SaaS 6.0 instance (localhost:8000) at 1600x1000. CORRECTION to an earlier note on this row: Dashboard Builder IS reachable there, just not through the dashboard's three-dots menu - the route is Administration > Dashboards > Predefined dashboards > Default dashboard > Edit. The draft it creates was discarded afterwards. RETAKE NOTE: badges A (drop zone), B (toolbox) and C (icon toolbar) still have to be added by hand, as Snagit is not available; and the shot needs another pass once the rebrand lands.","From the Dashboard, click Customize dashboard (or three dots > Customize dashboard) to open Dashboard Builder. Make sure the drop zones contain blocks - add Quick actions, Recent activity and My content if the draft is empty - and leave the Dashboard blocks toolbox open on the right. Crop to the whole builder at 1600x1000: the Dashboard Builder title bar with Publish / Save draft / Delete draft, the icon toolbar, the labelled drop zones with blocks, and the right-hand toolbox. NEEDS HUMAN ANNOTATION: badges A (drop zone), B (toolbox) and C (icon toolbar) have to be added by hand, as Snagit is not available.",
P1,arcade,getting_started/dashboard/work_with_dashboard.md,31,e5bqo0vVeXcLX0fUtfZw,Customize dashboard,5,removed,All 29 Arcade embeds are being removed; no sentence on the page exists purely to introduce this video.,,"L27: KEEP - ""This action opens an online editor - Dashboard Builder."" introduces the Dashboard Builder itself and the still image beneath it, and remains accurate once the video is gone."
P1,image,getting_started/dashboard/work_with_dashboard.md,45,dashboard_fields.png,Fields,5,icon-exempt,"A 45x45 toolbar glyph rendered inside a table cell of the button reference table, not a product screenshot, so rebranding almost certainly left it unchanged.",,
P1,image,getting_started/dashboard/work_with_dashboard.md,46,dashboard_switch_layout.png,Switch layout,5,icon-exempt,"A 45x45 toolbar glyph rendered inside a table cell of the button reference table, not a product screenshot, so rebranding almost certainly left it unchanged.",,
P1,image,getting_started/dashboard/work_with_dashboard.md,47,dashboard_undo.png,Undo,5,icon-exempt,"A 45x45 toolbar glyph rendered inside a table cell of the button reference table, not a product screenshot, so rebranding almost certainly left it unchanged.",,
P1,image,getting_started/dashboard/work_with_dashboard.md,48,dashboard_redo.png,Redo,5,icon-exempt,"A 45x45 toolbar glyph rendered inside a table cell of the button reference table, not a product screenshot, so rebranding almost certainly left it unchanged.",,
P1,image,getting_started/dashboard/work_with_dashboard.md,49,dashboard_structure_view.png,Structure view,5,icon-exempt,"A 45x45 toolbar glyph rendered inside a table cell of the button reference table, not a product screenshot, so rebranding almost certainly left it unchanged.",,
P1,image,getting_started/dashboard/work_with_dashboard.md,50,dashboard_blocks.png,Dashboard blocks,5,icon-exempt,"A 45x45 toolbar glyph rendered inside a table cell of the button reference table, not a product screenshot, so rebranding almost certainly left it unchanged.",,
P1,image,getting_started/dashboard/work_with_dashboard.md,51,dashboard_side_moving.png,Side moving,5,icon-exempt,"A 33x33 toolbar glyph rendered inside a table cell of the button reference table, not a product screenshot, so rebranding almost certainly left it unchanged.",,
P1,image,getting_started/dashboard/work_with_dashboard.md,57,dashboard_blocks_toolbox.png,Dashboard blocks,5,removed,"Redundant with the Dashboard Builder overview retake at L29, which already shows this same Dashboard blocks toolbox open on the right, and the prose defers the actual block list to the Dashboard block reference page.",,
P1,image,getting_started/dashboard/work_with_dashboard.md,61,dashboard_structure_view_toolbox.png,Structure view,5,done,"Passes: Structure view is the one part of the builder the overview shot does not show, and ""a structure of your dashboard, including its division into zones and the blocks that they contain"" is a hierarchy that only a picture makes concrete. | RETAKE NOTE: Drop zones seeded with Quick actions / Recent activity / My content / Review queue + My content + Common content; the Ibexa news block was deleted from the draft first.","In Dashboard Builder with at least four drop zones filled (add Quick actions, Recent activity, a news block, Review queue, My content and Common content across the zones so the tree is realistic), click the Structure view icon in the right of the icon toolbar. Crop to the Structure view toolbox panel only: its header and the full Drop zone 1..n tree with the block names underneath; exclude the drop zones to the left.",
P1,image,getting_started/dashboard/work_with_dashboard.md,71,dashboard_switch_layout_window.png,Switch layout,5,done,"Passes: the prose says ""choose one from available layouts"" without naming any, and the modal is the subject, so every layout tile plus Submit must be shown. | RETAKE NOTE: Shot unnumbered, as allowed by the instruction; badges 1-3 still need a human with Snagit if they are wanted.","In Dashboard Builder, click the Switch layout icon (second icon in the toolbar) to open the Switch layout modal. Scroll so as many layout tiles as possible are visible (One column, Two columns, One-third left, One-third right, Two rows two columns, Three rows two columns ...), select one so its checkbox is ticked, and keep the Submit / Cancel bar in frame; keep the builder toolbar visible above the modal as the parent context. Crop to the modal plus the toolbar strip. NEEDS HUMAN ANNOTATION: the existing numbered badges 1-3 (toolbar icon, chosen layout, Submit) cannot be reproduced without Snagit - either have a human add them or shoot it unnumbered.",
P1,image,getting_started/dashboard/work_with_dashboard.md,93,dashboard_blue_line.png,Drop zone line,5,done,"Passes: the blue highlighted drop zone and the bold insertion line exist only while a block is being dragged, a transient visual state the reader has to recognize mid-gesture and that words cannot show. | RETAKE NOTE: Drag held with synthetic HTML5 drag events, which render the blue drop zone and the insertion line but not the dragged block ghost under the cursor.","In Dashboard Builder with at least one block already in Drop zone 1, drag a block (for example Orders by status) out of the Dashboard blocks toolbox and hold it over the zone, just below the existing block, so the zone turns blue and the bold insertion line appears; take the screenshot while the drag is held. Crop to Drop zone 1 only: its label, the existing block, the dragged block ghost under the cursor and the insertion line; exclude the toolbox and the rest of the builder.",
P1,image,getting_started/dashboard/work_with_dashboard.md,97,dashboard_block_properties.png,Block properties,5,done,"Passes: the prose says the settings panel ""open immediately where you can configure all block properties"" without showing it, and this is the page's only view of the Properties/Design panel referenced again under Work with blocks.","In Dashboard Builder, drag a Quick actions block from the Dashboard blocks toolbox into a drop zone so the block settings panel opens automatically; make sure the fields are filled (Name plus several Actions chips) rather than blank. Crop to the settings panel only: block name header, the Properties / Design tabs, the populated fields and the Save and close / Discard buttons; exclude the drop zone behind it.",
P1,image,getting_started/dashboard/work_with_dashboard.md,103,user_settings_builder.png,User settings,5,removed,"Fails the necessity test: the sentence promises the route ""on the right side of the top bar"" but the image shows the already-open User settings page instead of that route, and the avatar drop-down path is illustrated on the Get started page.",,
P1,image,getting_started/dashboard/work_with_dashboard.md,109,user_settings_blocks_builder.png,Blocks settings,5,done,"Passes: the drop-down is the subject - the reader has to find ""Automatically open block settings in builder"" among four similar Content authoring fields and pick Disabled from its expanded list.","Click the avatar icon > User settings > Preferences tab, then click Edit next to Content authoring. Click the arrow on the ""Automatically open block settings in builders"" field so its drop-down is expanded with both Enabled and Disabled visible, and hover Disabled. Crop to the Content authoring editing panel: the Editing content authoring label, Save and close / Discard, all four fields and the open drop-down. Highlight the field label with a 2px #FF4713 rectangle. NEEDS HUMAN ANNOTATION if the numbered badges 1-2 are to be kept - Snagit is unavailable, so prefer shooting it with the highlight only.",
P1,image,getting_started/dashboard/work_with_dashboard.md,116,block_settings_builder.png,Block settings - Dashboard Builder,5,removed,"Consolidation, paired with the retake of dashboard_block_actions.png at L138: both are the same hover toolbar on the same Quick actions block, and the L138 framing shows the gear Block settings icon as well as the three-dots menu, so one image serves both paragraphs.",,
P1,image,getting_started/dashboard/work_with_dashboard.md,138,dashboard_block_actions.png,Dashboard block settings,5,done,"Passes and absorbs the L116 shot: the toolbar only appears on hover and the six actions the list enumerates are split between the toolbar icons and the three-dots menu, a division the text cannot make clear.","In Dashboard Builder, hover a block in a drop zone (for example Quick actions #1) so the blue block toolbar appears, then click its three-dots icon so the Duplicate / Refresh / Delete menu opens. Frame so the whole toolbar is visible - drag handle, block name, Move up arrow, Move down arrow, the gear Block settings icon and the three dots - together with the open menu and the top of the block beneath. Crop to the block plus its toolbar and menu; exclude the rest of the builder. Highlight the gear icon and the three-dots icon with 2px #FF4713 rectangles. This single image replaces the former block_settings_builder.png as well.",
P1,image,getting_started/dashboard/work_with_dashboard.md,145,edit_active_dashboard.png,Edit dashboard,5,removed,"Fails the necessity test: it shows only a highlighted three-dots icon with no menu open, while the prose already says ""click the three dots icon in the top corner, and then click Edit..."" and the L174 retake shows that menu with the Edit action in it.",,
P1,image,getting_started/dashboard/work_with_dashboard.md,169,select_active_dashboard.png,Select active dashboard,5,removed,"Fails the necessity test: the prose gives the full path (Preferences tab, Dashboard section, Edit) and the action (select, Save), and the shot is a radio list whose two options both read ""Default dashboard"", so it clarifies nothing.",,
P1,image,getting_started/dashboard/work_with_dashboard.md,174,switch_dashboard.png,Switch between dashboards,5,done,"Passes and absorbs the L145 shot: the three-dots menu on an active customized dashboard is the only place both Edit Customized dashboard and Switch to default dashboard appear, so one open-menu image covers this section and Edit dashboard. | RETAKE NOTE: The three-dots menu on this instance offers only ""Switch to Default dashboard"" - there is no ""Edit Customized dashboard"" entry. Cropped above the Ibexa news block.","Create and publish a customized dashboard first and set it as active (User settings > Preferences > Dashboard > Edit), so the menu shows the customized-dashboard entries. Then, on the Dashboard screen, click the three-dots icon in the greeting header so the menu opens with both Edit Customized dashboard and Switch to default dashboard visible, and hover Switch to default dashboard. Crop from the greeting header down past the first row of blocks so the menu's position on the dashboard is clear. Highlight the Switch to... entry with a 2px #FF4713 rectangle. This image also replaces the former edit_active_dashboard.png.",
P1,image,getting_started/content_tree/content_tree.md,11,../img/left_menu_tree.png,Content tree in the menu,7,done,"Blocked on rebrand: the content tree root Piano Platform has a child folder literally named ""Ibexa Platform"", which sits above the seeded hierarchy and cannot be cropped or scrolled out of a tree screenshot. Seeding is done (Folder14 > Press releases > 2026 announcements / 2025 archive (hidden), Company news > Product updates), so this row only needs that folder renamed or removed. RETAKE NOTE: Shot on the local non-SaaS 6.0 instance (localhost:8000) after renaming the 'Ibexa Platform' folder to 'Company intranet' and the 'Ibexa Digital Experience Platform' landing page to 'Corporate website', and seeding Press releases (2026 announcements + hidden 2025 archive), Company news and Campaigns. Cropped above the un-rebranded 'Ibexa Engage' menu entry, which is still present lower in the left menu.","First populate the tree, since the repository holds only 5 content items: under Content structure create 3-4 dummy folders with a couple of sub-folders each (realistic names, no lorem ipsum) and hide one of them so a greyed-out entry is visible. Then go to Content > Content structure and expand two levels of the tree. Crop to the left side of the screen only: the icon rail, the Content menu fly-out (Content structure, Media, Drafts, Forms, Calendar, Tags) and the Content tree panel with the expanded hierarchy and the hidden item; exclude the content item view on the right.",
P1,arcade,getting_started/content_tree/content_tree.md,44,eKT6FDQsAJPsyQs59OlK,Content tree - add folder,7,removed,All 29 Arcade embeds are being removed; the numbered procedure above stands on its own and no sentence exists only to introduce the video.,,"L42: KEEP - ""The newly created folder is now visible in the content tree."" is the closing result of the six-step procedure, not a video introduction."
P1,image,getting_started/notifications.md,22,new_notification_message.png,New notification message,8,removed,"Fails the necessity test: the prose already says ""a message appears on the screen to notify you of new notifications"", and the image is a 490x98 crop of that toast reading ""You have new notifications.""",,
P1,image,getting_started/notifications.md,26,img/top_bar_with_notification_icon.png,Notification icon on the top bar,8,done,"Shot on the local non-SaaS 6.0 instance (moved to https://localhost:8001 after mkdocs serve took port 8000). CORRECTION to the earlier note on this row: notifications CAN be generated - send a content item to review from the edit screen and enter the reviewer's username. One 'Content review request' notification (Workflow:NotifyReviewer) existed when these were shot. Full-width top bar strip with the bell and its numbered badge highlighted; highlight drawn with ImageMagick rather than Snagit. RETAKE NOTE: only one notification exists on the instance, so the list shows a single row rather than the three or four the capture instruction asks for. Worth another pass once more notifications of mixed types and read/unread states can be generated.","Generate at least three unread notifications first - send a content item to the Quick Review workflow and send another item to trash - so the badge shows a count. Then log in and crop to the full-width top bar only (logo, search field, Site context drop-down, bell with its numbered badge, avatar) as one narrow strip, no page body. Highlight the bell and its badge with a 2px #FF4713 rectangle.",
P1,image,getting_started/notifications.md,34,notifications_short_list.png,Short list of notifications,8,done,"Shot on the local non-SaaS 6.0 instance (moved to https://localhost:8001 after mkdocs serve took port 8000). CORRECTION to the earlier note on this row: notifications CAN be generated - send a content item to review from the edit screen and enter the reviewer's username. One 'Content review request' notification (Workflow:NotifyReviewer) existed when these were shot. Bell fly-out with the Notifications (1) header, Mark all as read, the unread row with its dot and timestamp, the open three-dots menu (Mark as read / Delete) and the View all notifications (1) link. RETAKE NOTE: only one notification exists on the instance, so the list shows a single row rather than the three or four the capture instruction asks for. Worth another pass once more notifications of mixed types and read/unread states can be generated.","With at least three notifications seeded (a review request, a release-lock request or a sent-to-trash notification), click the bell in the top bar to open the short list, then click the three-dots icon on the first notification so the Mark as read / Delete menu opens. Crop to the fly-out panel only: the Notifications (n) header with Mark all as read, the notification rows with their unread dots and timestamps, the open three-dots menu, and the View all notifications... link at the bottom; exclude the page behind it.",
P1,image,getting_started/notifications.md,50,img/notifications_screen.png,Notifications screen,8,done,"Shot on the local non-SaaS 6.0 instance (moved to https://localhost:8001 after mkdocs serve took port 8000). CORRECTION to the earlier note on this row: notifications CAN be generated - send a content item to review from the edit screen and enter the reviewer's username. One 'Content review request' notification (Workflow:NotifyReviewer) existed when these were shot. Notifications list with the row's 'Go to content' action hovered so the tooltip shows, next to the envelope icon. RETAKE NOTE: only one notification exists on the instance, so the list shows a single row rather than the three or four the capture instruction asks for. Worth another pass once more notifications of mixed types and read/unread states can be generated.","With notifications seeded, click the bell in the top bar and then View all notifications... at the bottom of the short list. Hover the action icon on one row so its tooltip (for example Go to content) is displayed. Crop to the Notifications panel: the page title, the List (n) header with the Mark as read / Delete bulk buttons, the column headers (Title, Status, Date and time) and three or four rows including the hovered row with its tooltip and envelope icon; exclude the left menu and the top bar.",
P1,image,getting_started/notifications.md,62,img/notifications_filters.png,Notification filters,8,done,"Shot on the local non-SaaS 6.0 instance (moved to https://localhost:8001 after mkdocs serve took port 8000). CORRECTION to the earlier note on this row: notifications CAN be generated - send a content item to review from the edit screen and enter the reviewer's username. One 'Content review request' notification (Workflow:NotifyReviewer) existed when these were shot. Filters sidebar with Type set to 'Review requested' and a From date entered, so it is not blank. RETAKE NOTE: only one notification exists on the instance, so the list shows a single row rather than the three or four the capture instruction asks for. Worth another pass once more notifications of mixed types and read/unread states can be generated.","On the Notifications screen, open the Filters sidebar on the right. Crop to that sidebar only: the collapse arrow, the Filters title with Clear and Apply, the Type drop-down, the Status checkboxes (Read / Unread) and the Date and Time From / To fields with their calendar icons; exclude the notifications list to the left. Shoot it with a type selected and a date entered rather than fully blank.",
